Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,12/9/2008,1523,12/9/2008,1523,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N2,NORTHGATE
2.008E+13,12/9/2008,1525,12/9/2008,1525,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
2.008E+13,12/9/2008,1530,12/10/2008,20,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,ROOSEVELT/RAVENNA
2.008E+13,12/9/2008,1540,12/11/2008,1733,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,MID BEACON HILL
2.008E+13,12/9/2008,1600,12/10/2008,1034,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J1,BALLARD NORTH
2.008E+13,12/9/2008,1600,12/10/2008,1526,CAR PROWL,THEFT-CARPROWL,NORTH,J,J1,GREENWOOD
2.008E+13,12/9/2008,1630,12/9/2008,2222,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL
2.008E+13,12/9/2008,1630,12/9/2008,1800,CAR PROWL,THEFT-CARPROWL,NORTH,L,L3,LAKECITY
2.008E+13,12/9/2008,1700,12/9/2008,1828,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.008E+13,12/9/2008,1745,12/9/2008,2040,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K1,DOWNTOWN COMMERCIAL
2.008E+13,12/9/2008,1800,12/10/2008,836,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U2,UNIVERSITY
